id,name,quantity,price,value
222.0,Silver,8,85475923,683807384
123.0,Gold,80,400000000,32000000000
456.0,Silver,500,45123789,22561894500
404.0,pen,10,15,150
405.0,notebook,5,50,250
407.0,eraser,50,5,250
1.0,Bottle,50,499,24950
2.0,Glass Bottle,699,1200,838800
3.0,Fiber Bottle,20,399,7980
4.0,Thermal Bottle,80,899,71920
7.0,cup,80,299,23920
5.0,Cakes,20,750,15000
6.0,Bread,60,65,3900
7.0,Tost,40,54,2160
8.0,Rose cookie,100,150,15000
1241.0,Pillow,50,780,39000
89,Motherboard,50,559200,27960000
